gift	christmas	0.6000882181318737	3.9259259105971376

reason	star	0.6861164226479447	2.3189911283811555
reason	rating	0.6180286885249151	2.0853762771996505
star	rating	0.7968693907969453	3.438222704252001

seconds	hour	0.4135440842926872	1.1286445757669847
seconds	minute	0.727822626611248	3.0644434152179776
half	hour	0.5807777687055526	2.1784667002656626
hour	minute	0.6978925166556766	1.1426308177417248
ready	minute	0.7231901946562974	2.0642711993631204

original	replacement	0.5247715653615249	1.7734372271023096
defective	replacement	0.7212147500506892	2.709530586272644

green	light	0.6221060542404501	2.903025443664724
green	led	0.8347315498026091	3.6539921951134957
light	dark	0.645034862523727	2.209878263104779
light	led	0.682846521625027	1.873406026483566

type	regular	0.5178418172538842	0.9632334911213466

control	remote	0.5961781304139394	4.188915370458547

cover	case	0.656609257784917	1.951844884575128

cheaper	money	0.4211451171618157	0.6678293725756556
cheaper	price	0.47820226202477345	1.3927252514501811
cheaper	model	0.5731589538453002	1.3121863889661687
cheaper	worth	0.5049240201964402	1.4663370687934272
cheaper	dollar	0.6830173720063871	2.4849066497880004
cost	money	0.5448258681493324	1.1533371883573562
cost	price	0.6318837115579619	0.4919387061119911
cost	additional	0.2674738136134135	3.1374685502328674
cost	extra	0.31314685216020566	2.7627751007914565
cost	model	0.24709235767126736	1.1045470241879243
cost	worth	0.4258999517182217	3.0504571732432377
money	additional	0.34690105664227244	1.528030637798767
money	extra	0.5373831084828246	1.664162812123347
money	model	0.1050536465905384	0.1882562923137691
money	older	0.015202826156425875	0.9814869314306971
money	worth	0.3710869942341717	2.4218485138208634
money	expensive	0.5786854929630755	0.16472579490357503
price	additional	0.05608277862939204	0.8666321555534019
price	extra	0.14741816167754718	0.7796207785637722
price	worth	0.21673675327835307	1.2904464023297628
price	dollar	0.49165317538300435	0.6995780708902358
price	expensive	0.5455691972030674	0.19647449321815527
additional	extra	0.5359889088438987	2.732003442124703
extra	model	0.2232297103679619	1.392229096639705
extra	worth	0.5884375718015527	2.7991427449623316
model	older	0.6490197055108091	2.72445623648932
model	dollar	0.2772303861013037	2.005333569526114
model	expensive	0.5255900608200159	0.8090828112940884
older	expensive	0.46042391818603123	1.6023134504110164
worth	dollar	0.6355313504211912	2.1594842493533726
worth	expensive	0.5060546325368874	1.6563806716812919
dollar	expensive	0.7195434088758969	1.98180307211592

review	reviewer	0.5866096924932841	1.42859674081058

power	outlet	0.5441908157376083	1.2166264900944954
power	wall	0.3741646312322432	1.8975035780626264
outlet	wall	0.7114693442611061	3.696438885360753

image	clarity	0.5324515400126044	2.880802306880014
image	clear	0.42621672395164734	2.785492127075689
image	detail	0.6865069658079002	1.8511828896988556
image	picture	0.7110257524994715	0.2707325141380078
