Alarm Clock	-860.2827292938273
Amplifier	-880.0933921593843
Battery	-863.7956976783455
Blu Ray Player	-944.676090845812
Cable Modem	-856.2760886365581
Camcorder	-901.1289332547227
Camera	-909.4663384165243
Car Stereo	-870.084887276754
CDPlayer	-842.8972540215836
CellPhone	-836.1151781735388
Computer	-896.5756439275111
DVDPlayer	-820.4797022532895
Fan	-841.335372154373
GPS	-883.9028375922563
Graphics Card	-845.5410942394909
HardDrive	-874.0353343529675
Headphone	-887.043431997999
Home Theater System	-901.7527051310649
Iron	-882.8204826674115
Keyboard	-851.9864653413429
Kindle	-825.721226594603
Lamp	-852.8734472994947
Laptop	-841.4605349436918
Media Player	-894.8241205815159
Memory Card	-818.2362184451
Microphone	-834.7252807039653
Microwave	-870.4728998999707
Monitor	-879.9636589572377
Mouse	-865.8881850532431
MP3 Player	-871.788379331636
Network Adapter	-856.2655242107553
Printer	-881.3582046098594
Projector	-883.6198611832967
Radar Detector	-863.8186496162624
Remote Control	-872.249110073964
Rice Cooker	-888.9108760795494
Scanner	-893.9161649551194
Speaker	-868.0671955064038
Subwoofer	-862.479490518973
Tablet	-857.994203996994
Telephone	-848.3167958016808
TV	-877.623647420276
Vacuum	-931.658736889005
Video Player	-885.5890982433089
Video Recorder	-936.1987445914722
Voice Recorder	-894.116808861219
Watch	-881.4872750303765
Webcam	-870.9238401205872
Wireless Router	-926.5118864110037
Xbox	-840.423445192222
average : -872.5554634107509
