skype	messenger	video	chat	service	window	yahoo	phone	msn	ready	
windows	xp	vista	computer	live	system	creative	home	machine	compatible	
software	computer	internet	friend	device	fun	real	star	connection	poor	
price	mic	money	worth	microphone	cheap	deal	free	hour	big	
driver	microsoft	lifecam	cd	support	website	tech	technical	application	version	
easy	installation	box	minute	simple	plug	setup	package	software	instruction	
cam	web	review	program	fact	friend	button	couple	complaint	quick	
video	audio	effect	call	frame	rate	basic	decent	order	recording	
logitech	software	quickcam	site	reason	true	wrong	user	worse	line	
feature	focus	face	setting	auto	zoom	view	adjustment	motion	side	
light	low	color	image	lighting	condition	dark	picture	bright	balance	
mac	usb	pc	linux	os	ubuntu	port	user	version	cable	
picture	clear	sound	microphone	job	voice	room	crisp	crystal	kind	
laptop	monitor	top	screen	intel	ram	computer	design	small	performance	
image	resolution	hd	high	model	lens	end	photo	pro	higher	
average coherence	-1429.6107481787906
