word	easier	option	note	simple	book	convenient	super	easy	quick	
screen	tip	rubber	device	touch	improvement	gift	comparison	world	opinion	
tab	xoom	motorola	amazonbasic	app	blackberry	samsung	fire	thrive	galaxy	
price	expensive	glad	dollar	packaging	shipping	extra	buck	cost	satisfied	
jack	charger	usb	outlet	cord	hub	headset	earbud	connector	plug	
boxwave	capacitive	firm	pogo	eraser	ballpoint	writing	cloth	sylus	bamboo	
clip	spine	leather	lanyard	case	pocket	thick	holder	string	metal	
finger	capacitive	amazonbasic	fire	touchscreen	penultimate	fingerprint	oils	touch	smudge	
blue	color	protector	scratch	light	matte	red	bubble	jet	glare	
small	hand	compact	bigger	weight	briefcase	larger	inch	large	big	
review	comment	star	positive	purchase	research	online	customer	chance	negative	
pen	back	end	bottom	line	edge	high	longer	side	job	
construction	stand	spongy	sleek	design	pro	cheap	durable	sturdy	flaw	
cell	dock	tablet	blackberry	iphone	generation	xoom	itouch	ipod	smart	
clumsy	typing	precise	nail	smooth	stroke	comfortable	soft	pen	responsive	
average coherence	-126.82909024373564
