thief	bracket	dash	mount	front	attachment	windshield	dashboard	velcro	located	
plug	outlet	cord	cigarette	coiled	connector	socket	wire	wiring	switch	
revenue	ticket	driveway	sheriff	patrol	dallas	west	cop	median	speeder	
model	older	cobra	laser	cheaper	version	technology	detection	cordless	passport	
comment	negative	online	rating	chance	review	real	experience	decision	research	
dark	light	red	bright	dim	car	blue	indicator	sun	visible	
authorized	honor	extended	disconcerting	defective	warranty	repair	manufacturer	customer	period	
range	axis	mile	car	frequency	decent	point	performance	road	level	
speed	simple	quick	interface	super	setup	minute	step	easy	friendly	
ka	signal	maine	ku	band	stronger	cop	fewer	fals	weak	
escort	encounter	ix	beltronics	valentine	detectors	bel	redline	whistler	fool	
ipad	iradar	generation	ios	bluetooth	android	cell	hour	smart	life	
false	area	voice	sound	con	speaker	alarm	system	feature	band	
extra	buy	buck	expensive	dollar	cheaper	price	sale	cost	purchase	
mode	volume	autoscan	display	mute	adjustment	control	automute	alarm	chirp	
average coherence	-128.30204059927058
